Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,Eurasia,Fires,413.9428849,438.0502278,391.4689233,258.249563,589.5045048,589.5045048,535.4011569,348.2732428,194.7124831,428.4582309,506.3939966,156.1993055,172.2579862,362.9308928,170.0769293,144.9992608,160.2545794,98.20398667,354.0317894,149.3744857,193.5259368,175.4494024,280.2124235,129.9165917,260.6222033,97.85664074,203.1271563,109.4968588,254.1740571,196.5582537,152.3391734,188.2505853,90.21472391,139.592388
GWP_100_AR5_CH4,Eurasia,Fires,34.76090767,36.83564217,33.36043303,21.27197094,48.01907197,48.01907197,43.92382251,27.55824223,18.1124817,35.44790511,41.96015558,13.92283574,39.01519638,69.02180829,30.40782294,40.33918743,32.30122459,22.28425702,82.75642836,32.7052209,37.13924291,28.92179916,54.76814233,29.84318185,41.24718627,18.15799905,38.46975191,20.34443969,57.45423322,34.83317621,27.25319214,34.13751153,15.87273801,36.44063974
GWP_100_AR5_N2O,Eurasia,Fires,18.67479421,19.84174285,18.50555196,11.82093539,26.15273438,26.15273438,23.66761964,15.36743159,10.55370686,19.89764592,23.33026743,8.161449245,10.3594696,12.90658919,8.906476369,6.444932284,8.838534895,5.039465852,11.17328018,5.266122078,8.721245214,6.711873139,9.428612899,3.237780744,10.61345655,5.271090678,6.450852203,7.088886571,7.085507506,8.138667858,5.351381336,6.594951472,3.404414751,3.077667125
CO2,Eurasia,Forest Land,-1796.772355,-1793.849244,-1792.064845,-1920.094951,-2065.062052,-2057.231493,-2085.146945,-1996.234703,-2042.41427,-1990.56442,-1961.567027,-1946.98769,-1944.23192,-1923.720659,-1912.539248,-1904.808684,-1888.925547,-1856.263059,-1993.393903,-2002.700816,-1948.42812,-1912.607349,-1892.838304,-1894.624139,-1867.149373,-1860.638736,-1853.939944,-1851.934526,-1776.313111,-1805.277483,-1801.406053,-1791.36299,-1846.746152,-1852.139476
CO2,Eurasia,Organic Soil,162.4307894,161.2819662,159.7509894,158.8135189,157.3631197,156.1419387,154.4866645,152.8875919,151.5633246,150.0182264,148.4903968,146.9671797,145.4427087,143.8788117,142.6072226,141.2915191,139.9653619,139.1706654,136.1890024,134.8831821,135.2016806,133.9281715,133.9621023,133.4219485,133.4916194,133.5299848,132.7968261,132.7032994,133.4413213,133.398489,133.398489,133.398489,133.398489,133.398489
CO2,Eurasia,Other Land,-47.45588457,-1.787222178,-5.209307873,-21.05000593,-56.27349503,-78.60337242,-102.0986643,-113.7975825,-124.6829817,-146.0169038,-136.0901281,-148.2913822,-162.9258699,-150.3880785,-132.2592851,-132.996733,-112.0240608,-146.4463969,-196.883779,-175.6963813,-207.1697731,-206.6052418,-221.0195254,-192.40226,-247.3809318,-187.3365003,-218.9789952,-215.2558752,-216.3145094,-204.3657747,-203.4264059,-172.4364229,-172.4364229,-172.4364229
CO2,Europe,Deforestation,30.79266181,30.90091215,30.96537259,32.31796216,31.59340241,31.97844285,34.38323316,35.83033017,38.87597949,37.14063188,36.74771811,39.13497603,40.38794735,41.31639946,43.32206633,43.60670211,45.59564825,47.37678867,46.97542579,46.70408609,47.2785903,47.57084471,48.03184531,51.45827168,45.65473548,48.66845703,49.43362835,43.52678956,42.17101181,41.9468452,39.53453155,39.00750978,39.00750978,39.00750978
CO2,Europe,Fires,44.20391681,28.32457819,22.63897364,15.53767076,34.00944651,34.00944651,37.26508825,7.931145009,50.76555934,20.34247256,40.73121057,37.14474672,6.201005172,15.00173084,2.924102632,12.61021624,6.392935604,9.513815331,2.884272468,5.621869882,5.163669755,6.555734053,12.04614957,4.585149805,7.608246451,10.79642844,5.120770788,20.93092979,4.774240782,9.531598996,11.58378413,9.773258413,13.10309213,6.64104167
GWP_100_AR5_CH4,Europe,Fires,5.365710548,3.033361624,2.233648689,1.52632817,3.455498419,3.455498419,3.751992212,1.192038728,5.23687175,2.036545413,4.254453224,4.320335883,1.700598696,2.238817191,0.468454824,1.249077116,0.723100955,1.439046985,0.459041255,0.70930537,0.691299561,1.299113809,2.320596151,0.497619028,1.117415658,2.314374104,0.604966167,1.995674692,0.616935871,1.96375187,1.778783307,0.975627468,1.916253865,0.693426431
GWP_100_AR5_N2O,Europe,Fires,1.775565046,1.200912462,1.015041665,0.689830491,1.498379825,1.498379825,1.631381309,0.310723507,2.192335633,0.918123958,1.782803652,1.563163384,0.144977741,0.573257545,0.13409038,0.548608435,0.290574632,0.406915769,0.161456711,0.255595191,0.224769651,0.235105713,0.413333179,0.202625594,0.306781678,0.333293369,0.237776665,0.917335666,0.198893115,0.291828819,0.436463121,0.440779761,0.501572429,0.307904245
CO2,Europe,Forest Land,-613.6488015,-735.9986969,-729.171961,-738.9803678,-693.8169821,-654.792321,-675.0420189,-635.8924002,-632.9590705,-616.0604522,-544.1767339,-595.0651404,-582.4461761,-550.1758415,-528.3603976,-475.5028356,-512.5391689,-445.4823057,-518.0255914,-596.0450248,-487.6477598,-478.3160614,-479.3218814,-466.9574695,-460.491006,-444.2654644,-428.3072905,-420.5606316,-357.0115581,-353.9351462,-384.7222257,-330.8686312,-336.6858767,-323.8106015
CO2,Europe,Organic Soil,122.8407116,123.2151409,122.3603198,121.0991743,120.3188853,120.6063385,120.8653227,119.8759512,119.6016892,119.6250339,120.3175315,120.5947925,120.4318359,120.014218,119.032579,119.4115663,120.5490829,119.9281656,119.8749297,119.7899344,119.2241275,119.360906,119.6247011,119.1852774,119.5120491,119.4700739,120.0228358,120.1071946,120.0364953,120.403863,120.3977878,120.3977878,120.3977878,120.3977878
CO2,Europe,Other Land,-46.05303141,-48.67906014,-45.40682835,-53.69057545,-61.26872961,-74.00398269,-70.2447071,-67.45927438,-73.32003496,-149.5738563,-73.44846013,-78.48853601,-79.04359518,-101.2448171,-113.8253323,-116.1752023,-129.3303988,-124.8809415,-74.76639162,-77.1671721,-102.1682729,-88.5586077,-90.70948587,-73.29062829,-76.51860327,-100.72781,-103.281148,-105.8477848,-99.46844361,-110.5418847,-123.0653884,-133.153723,-133.153723,-133.153723
CO2,Latin America and Caribbean,Deforestation,1394.821336,1269.880991,1433.205507,1482.614032,1481.848757,2472.490243,1859.505918,1573.400444,1829.798301,1808.367637,1848.319488,1778.128723,1992.531983,3024.715958,3215.018501,2293.154328,1973.814637,1729.611719,1803.45516,1237.551282,1187.564075,1209.571003,1126.757587,1301.668599,1127.063538,1197.040344,1274.452134,1242.386568,1224.497343,1218.000451,1276.776078,1276.79218,1276.79218,1276.79218
CO2,Latin America and Caribbean,Fires,78.70038572,72.18595824,58.07607062,50.7479414,96.50860265,96.50860265,82.62075841,53.68754713,58.443009,81.23905867,42.83161973,60.72405365,24.15990472,26.93150704,12.22980078,17.45970396,14.80491184,9.646119819,22.40984396,16.02338818,8.113507939,20.66603291,12.48558316,10.70032969,8.415283975,17.2010484,18.76747005,45.49202794,16.05959605,17.27488924,25.26147395,15.03630581,22.29306897,31.86074851
GWP_100_AR5_CH4,Latin America and Caribbean,Fires,58.77958821,83.87501175,89.38655905,173.4575307,76.0332068,76.0332068,77.75500885,45.42662401,77.75587736,93.92172845,150.7629746,66.40886537,60.15159603,77.90341438,78.69568544,80.41276291,58.93534091,98.19667706,45.54055126,34.4782353,115.7499722,34.16595238,45.32787225,35.16442712,30.88340522,51.34102578,61.24131249,50.90400351,28.10679405,76.06971399,83.87602542,48.74832038,65.93380699,59.19945557
GWP_100_AR5_N2O,Latin America and Caribbean,Fires,19.39482238,27.08886269,27.81264194,49.84512815,25.5467215,25.5467215,26.93439856,13.91510084,23.7036697,28.44230588,43.61900695,22.78859702,24.30835567,24.51767927,27.86308447,28.79082206,18.15975936,36.12745767,17.21748348,10.88387669,37.91493172,15.03274815,18.52435419,11.41381733,12.44355136,18.01601178,17.44535849,21.64447711,11.56677908,24.70850606,29.24401266,18.98916255,21.01053981,19.62813022
CO2,Latin America and Caribbean,Forest Land,-2057.439628,-2008.874142,-2062.043917,-2041.003107,-1962.116551,-1899.305519,-1869.01262,-1821.035919,-1762.758116,-1693.334718,-1642.328714,-1668.612672,-1608.044136,-1499.317655,-1429.761089,-1455.664805,-1475.018719,-1431.570332,-1648.771448,-1662.492329,-1609.024626,-1443.18367,-1375.905942,-1390.190297,-1397.053737,-1444.391444,-1573.549697,-1541.791558,-1479.736005,-1567.529763,-1529.320536,-1530.84926,-1519.935862,-1505.930919
